thumbnail,data_formatada
https://video-gru2-2.cdninstagram.com/v/t50.33967-16/308290417_611591053930185_1366832424408487513_n.mp4?_nc_cat=102&vs=3005519413072709_992625319&_nc_vs=HBksFQAYJEdIRWpZQkxKYm9RalBTd0NBRm1XV2lUWjl2Y1NicV9FQUFBRhUAAsgBABUAGCRHSXJHWEJJN20tYXQ2TUlDQUl2TlRFMFNFZEFLYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbU5fSo55S4PxUCKAJDMywXQFw2JN0vGqAYEmRhc2hfYmFzZWxpbmVfMV92MREAdQAA&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjEyNzYuY2xpcHMifQ%3D%3D&_nc_ohc=64tIR4C29lkAX8WdWkT&_nc_ht=video-gru2-2.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT8PkySHOwbC2qYpXeF3v5xMWzg6vaM3EnJDEto2k_5GYQ&oe=632CD1B7&_nc_rid=9eb8dfeb4e,20220922
https://video-gru1-1.cdninstagram.com/v/t50.33967-16/308622071_1288582151895852_4857178951990368671_n.mp4?_nc_cat=101&vs=529566979173929_3739237174&_nc_vs=HBksFQAYJEdQY3laUklzZTIxcDlaTUVBSi1aNDd1RkttaERicV9FQUFBRhUAAsgBABUAGCRHQ3BpWEJMUzRKbnJJSzhBQURHZ2RfRTNmUFJxYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaW5%2Brym9yKQRUCKAJDMywXQFOXfO2RaHMYEmRhc2hfYmFzZWxpbmVfMV92MREAdQAA&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcyJ9&_nc_ohc=Y_F8pKE0uRoAX_YNg1k&_nc_ht=video-gru1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT-K5-Ww_NS4AsrGWOigfJBO9xMYw3DYY6PtBbymOZKXtQ&oe=632C1E44&_nc_rid=a61c495315,20220921
https://scontent-gru2-1.cdninstagram.com/v/t51.2885-15/307605977_650333526433442_3814182745380329191_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=MLADgSujIrEAX_CUcao&_nc_ht=scontent-gru2-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT_3ttRcMV6IAuxu4k6mPXFga1EgqbOHnik_aLlaGUQkkw&oe=6330524B,20220920
https://scontent-gru1-1.cdninstagram.com/v/t51.29350-15/307717348_123083037183285_4448831699516664855_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Nrx76H9dgTgAX9SyFfs&_nc_ht=scontent-gru1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT-o1z9Dj9SJGXbeFbMTZrvSJmowdGyA69RWTCd7jWpTeQ&oe=632E8A11,20220920
https://scontent-gru1-2.cdninstagram.com/v/t51.29350-15/308315545_623616065825569_9193295802519491136_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=nPjfWEPMX4MAX81k2D3&_nc_ht=scontent-gru1-2.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT-G2bAmhzzYMSfqYUjIihRooENnlRCqpZZOhrV9vZf6iA&oe=6330473A,20220922
https://scontent-gru1-2.cdninstagram.com/v/t51.29350-15/307813408_1223941028401121_8022455900978351175_n.webp?stp=dst-jpg&_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=wVlQR1w6AQgAX9bKRqd&_nc_ht=scontent-gru1-2.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT8GOybjmFVr6GuE_K860rvGYo8IRG9PlVTO8R0HcrxaRg&oe=632E245B,20220920
https://scontent-gru1-1.cdninstagram.com/v/t51.29350-15/308135660_1041013469922759_3544153364504439489_n.webp?stp=dst-jpg&_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=M2CIrR04AQwAX8JCidd&_nc_ht=scontent-gru1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT97e21fKJbhYJ8MGLuWjDULNLtP1Km-ZU84Sc8f95f5Ag&oe=632DDE47,20220920
https://scontent-gru1-1.cdninstagram.com/v/t51.29350-15/307833510_494934568783734_7697686456482783584_n.webp?stp=dst-jpg&_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=hf0PxEn3m-sAX8cxp3V&_nc_ht=scontent-gru1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT9Gxrc_PFMU7gii8sy3N5aAJY9bClN_uTYqYUiMVveg3g&oe=63311777,20220921
https://video-gru1-1.cdninstagram.com/v/t50.33967-16/10000000_5533697576716183_185545107741638866_n.mp4?_nc_cat=110&vs=1101757114059687_3281206208&_nc_vs=HBksFQAYJEdJQ1dtQUNYeDFwZTNxZ1RBTktBd054S01KTUNicV9FQUFBRhUAAsgBABUAGCRHTXlCV3hLdFIzdmZ2bThBQUViY29BLWZFT1EzYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACa4pIjZ9ZzmPxUCKAJDMywXQE9J%2B%2Bdsi0QYEmRhc2hfYmFzZWxpbmVfMV92MREAdQAA&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ohc=7Bp0-Hyzch4AX_MvGQC&_nc_ht=video-gru1-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AT8dXuI2jMv1iAohtmpM7tNxR_Kt1-1y67XZLVmoFEZTYw&oe=632A8E19&_nc_rid=f5feb2f583,20220920
,20220920
https://i.ytimg.com/vi/tgvpSaJj8oU/mqdefault.jpg,20220920
